sample	numcalls	meanDP	HipSTRCallMinDepth10	HipSTRCallMinQ0.9
NA18486	7	38.142857142857146	0	0
NA18487	7	36.42857142857143	0	0
NA18488	7	37.57142857142857	0	0
NA18489	6	70.33333333333333	0	0
NA18498	7	38.285714285714285	0	0
NA18499	7	38.42857142857143	0	0
NA18502	7	33.285714285714285	0	0
NA18505	7	44.285714285714285	0	0
NA18508	7	56.57142857142857	0	0
NA18510	7	38.142857142857146	0	0
NA18511	7	50.42857142857143	0	0
NA18517	7	37.0	0	0
NA18519	7	33.0	0	0
NA18520	7	38.42857142857143	0	0
NA18858	6	35.5	0	1
NA18861	7	36.142857142857146	0	0
NA18867	6	37.333333333333336	0	1
NA18868	6	39.333333333333336	0	0
NA18870	6	34.5	0	0
NA18873	7	41.142857142857146	0	0
NA18907	7	40.42857142857143	0	0
NA18908	7	39.142857142857146	0	0
NA18909	7	45.57142857142857	0	0
NA18910	7	41.0	0	0
NA18912	7	40.0	0	0
NA18916	7	43.57142857142857	0	0
NA18917	6	38.666666666666664	0	1
NA18923	7	41.42857142857143	0	0
NA18933	6	36.833333333333336	0	1
NA18934	7	36.57142857142857	0	0
NA19092	7	34.42857142857143	0	0
NA19093	7	42.142857142857146	0	0
NA19095	7	36.57142857142857	0	0
NA19096	7	42.857142857142854	0	0
NA19098	7	41.714285714285715	0	0
NA19099	7	43.285714285714285	0	0
NA19102	7	35.142857142857146	0	0
NA19107	7	37.857142857142854	0	0
NA19108	7	38.57142857142857	0	0
NA19113	7	39.857142857142854	0	0
NA19114	7	37.57142857142857	0	0
NA19116	7	40.714285714285715	0	0
NA19117	7	38.285714285714285	0	0
NA19118	7	41.857142857142854	0	0
NA19119	7	35.42857142857143	0	0
NA19121	7	39.142857142857146	0	0
NA19129	7	41.57142857142857	0	0
NA19130	7	40.285714285714285	0	0
NA19131	7	48.57142857142857	0	0
NA19137	7	40.0	0	0
NA19138	7	41.42857142857143	0	0
NA19141	7	32.57142857142857	0	0
NA19143	7	36.42857142857143	0	0
NA19144	7	38.714285714285715	0	0
NA19146	7	43.57142857142857	0	0
NA19147	7	39.57142857142857	0	0
NA19149	7	38.57142857142857	0	0
NA19150	7	39.714285714285715	0	0
NA19152	7	39.857142857142854	0	0
NA19153	6	40.833333333333336	0	0
NA19159	7	42.57142857142857	0	0
NA19160	7	41.285714285714285	0	0
NA19171	7	33.42857142857143	0	0
NA19172	7	37.142857142857146	0	0
NA19175	7	40.142857142857146	0	0
NA19184	7	31.142857142857142	0	0
NA19185	7	45.0	0	0
NA19189	7	33.714285714285715	0	0
NA19190	7	43.714285714285715	0	0
NA19197	7	37.142857142857146	0	0
NA19198	6	40.166666666666664	0	1
NA19200	7	32.142857142857146	0	0
NA19201	7	34.714285714285715	0	0
NA19204	7	41.42857142857143	0	0
NA19206	7	38.714285714285715	0	0
NA19207	7	40.0	0	0
NA19209	7	45.857142857142854	0	0
NA19210	7	40.285714285714285	0	0
NA19213	7	35.57142857142857	0	0
NA19214	7	51.42857142857143	0	0
NA19222	7	39.285714285714285	0	0
NA19223	6	40.5	0	0
NA19225	6	40.5	0	1
NA19235	6	39.0	0	1
NA19236	7	41.57142857142857	0	0
NA19247	7	36.42857142857143	0	0
NA19248	7	43.57142857142857	0	0
NA19256	7	33.42857142857143	0	0
NA19257	7	44.0	0	0
