sample	numcalls	meanDP	HipSTRCallMinDepth10	HipSTRCallMinQ0.9
HG00096	7	41.0	0	0
HG00097	7	37.42857142857143	0	0
HG00099	7	43.142857142857146	0	0
HG00100	7	44.57142857142857	0	0
HG00101	7	38.857142857142854	0	0
HG00102	7	35.57142857142857	0	0
HG00103	7	40.857142857142854	0	0
HG00105	6	39.166666666666664	0	0
HG00106	7	39.0	0	0
HG00107	7	37.57142857142857	0	0
HG00108	7	37.285714285714285	0	0
HG00109	7	43.142857142857146	0	0
HG00110	7	37.0	0	0
HG00111	6	39.833333333333336	0	1
HG00112	6	41.5	0	1
HG00114	7	34.714285714285715	0	0
HG00115	7	33.57142857142857	0	0
HG00116	6	54.666666666666664	0	0
HG00117	7	45.42857142857143	0	0
HG00118	7	41.714285714285715	0	0
HG00119	7	43.42857142857143	0	0
HG00120	7	46.57142857142857	0	0
HG00121	7	39.42857142857143	0	0
HG00122	7	35.57142857142857	0	0
HG00123	7	37.142857142857146	0	0
HG00125	7	34.142857142857146	0	0
HG00126	7	50.42857142857143	0	0
HG00127	7	42.714285714285715	0	0
HG00128	7	54.857142857142854	0	0
HG00129	7	37.714285714285715	0	0
HG00130	7	38.857142857142854	0	0
HG00131	6	35.5	0	1
HG00132	7	36.42857142857143	0	0
HG00133	7	58.857142857142854	0	0
HG00136	7	37.42857142857143	0	0
HG00137	7	38.0	0	0
HG00138	7	38.142857142857146	0	0
HG00139	7	41.142857142857146	0	0
HG00141	7	41.0	0	0
HG00142	6	58.833333333333336	0	1
HG00143	7	36.0	0	0
HG00145	7	34.0	0	0
HG00146	7	53.0	0	0
HG00148	7	36.0	0	0
HG00149	7	36.42857142857143	0	0
HG00150	7	45.714285714285715	0	0
HG00151	6	42.666666666666664	0	0
HG00154	7	36.42857142857143	0	0
HG00155	7	34.857142857142854	0	0
HG00157	7	39.0	0	0
HG00158	7	45.142857142857146	0	0
HG00159	7	37.42857142857143	0	0
HG00160	6	38.0	0	0
HG00171	7	44.142857142857146	0	0
HG00173	7	37.714285714285715	0	0
HG00174	7	39.142857142857146	0	0
HG00176	7	39.0	0	0
HG00177	7	39.57142857142857	0	0
HG00178	6	42.666666666666664	0	1
HG00179	7	36.285714285714285	0	0
HG00180	7	42.42857142857143	0	0
HG00181	7	37.57142857142857	0	0
HG00182	7	37.42857142857143	0	0
HG00183	7	37.285714285714285	0	0
HG00185	7	42.714285714285715	0	0
HG00186	7	35.285714285714285	0	0
HG00187	7	45.142857142857146	0	0
HG00188	7	32.0	0	0
HG00189	7	37.57142857142857	0	0
HG00231	6	37.5	0	0
HG00232	7	58.285714285714285	0	0
HG00233	7	42.57142857142857	0	0
HG00234	7	42.285714285714285	0	0
HG00235	7	43.142857142857146	0	0
HG00236	7	42.285714285714285	0	0
HG00237	7	36.285714285714285	0	0
HG00238	7	36.42857142857143	0	0
HG00239	7	42.285714285714285	0	0
HG00240	7	31.857142857142858	0	0
HG00242	7	46.285714285714285	0	0
HG00243	7	46.42857142857143	0	0
HG00244	7	47.857142857142854	0	0
HG00245	7	50.714285714285715	0	0
HG00246	7	36.142857142857146	0	0
HG00250	7	37.57142857142857	0	0
HG00251	7	44.714285714285715	0	0
HG00252	7	38.142857142857146	0	0
HG00253	7	38.0	0	0
HG00255	7	43.714285714285715	0	0
HG00256	7	41.57142857142857	0	0
HG00257	7	43.142857142857146	0	0
HG00258	7	45.285714285714285	0	0
HG00259	7	36.714285714285715	0	0
HG00260	7	39.142857142857146	0	0
HG00261	7	39.42857142857143	0	0
HG00262	7	36.0	0	0
HG00263	7	34.42857142857143	0	0
HG00264	7	36.0	0	0
HG00265	7	43.857142857142854	0	0
HG00266	7	35.57142857142857	0	0
HG00267	7	41.714285714285715	0	0
HG00268	7	38.0	0	0
HG00269	7	33.57142857142857	0	0
HG00271	7	45.57142857142857	0	0
HG00272	7	58.857142857142854	0	0
HG00273	7	38.0	0	0
HG00274	7	37.285714285714285	0	0
HG00275	7	37.42857142857143	0	0
HG00276	7	35.42857142857143	0	0
HG00277	6	41.833333333333336	0	1
HG00278	7	41.714285714285715	0	0
HG00280	7	40.0	0	0
HG00281	7	39.0	0	0
HG00282	7	37.857142857142854	0	0
HG00284	7	40.42857142857143	0	0
HG00285	7	39.714285714285715	0	0
HG00306	7	40.42857142857143	0	0
HG00308	7	36.42857142857143	0	0
HG00309	7	37.714285714285715	0	0
HG00310	7	35.57142857142857	0	0
HG00311	7	38.57142857142857	0	0
HG00313	7	45.142857142857146	0	0
HG00315	7	38.42857142857143	0	0
HG00319	7	40.42857142857143	0	0
HG00320	7	54.142857142857146	0	0
HG00321	7	67.28571428571429	0	0
HG00323	6	37.833333333333336	0	1
HG00324	6	33.333333333333336	0	0
HG00325	7	34.857142857142854	0	0
HG00326	7	41.42857142857143	0	0
HG00327	7	43.285714285714285	0	0
HG00328	7	33.142857142857146	0	0
HG00329	7	38.42857142857143	0	0
HG00330	7	37.714285714285715	0	0
HG00331	7	38.285714285714285	0	0
HG00332	7	38.57142857142857	0	0
HG00334	7	38.857142857142854	0	0
HG00335	6	39.666666666666664	0	0
HG00336	7	41.857142857142854	0	0
HG00337	7	34.857142857142854	0	0
HG00338	7	41.0	0	0
HG00339	7	47.42857142857143	0	0
HG00341	7	39.0	0	0
HG00342	7	35.857142857142854	0	0
HG00343	7	34.142857142857146	0	0
HG00344	7	39.285714285714285	0	0
HG00345	7	36.857142857142854	0	0
HG00346	7	34.285714285714285	0	0
HG00349	7	39.285714285714285	0	0
HG00350	7	53.714285714285715	0	0
HG00351	7	35.142857142857146	0	0
HG00353	6	39.833333333333336	0	0
HG00355	7	50.57142857142857	0	0
HG00356	7	36.142857142857146	0	0
HG00358	7	42.142857142857146	0	0
HG00360	7	36.285714285714285	0	0
HG00361	7	37.285714285714285	0	0
HG00362	6	37.333333333333336	0	1
HG00364	7	35.714285714285715	0	0
HG00365	7	40.857142857142854	0	0
HG00366	7	31.142857142857142	0	0
HG00367	6	35.333333333333336	0	1
HG00369	7	52.57142857142857	0	0
HG00371	7	41.42857142857143	0	0
HG00372	7	36.857142857142854	0	0
HG00373	7	37.142857142857146	0	0
HG00375	7	43.42857142857143	0	0
HG00376	7	39.57142857142857	0	0
HG00378	7	42.142857142857146	0	0
HG00379	7	40.714285714285715	0	0
HG00380	7	41.714285714285715	0	0
HG00381	6	41.666666666666664	0	1
HG00382	7	36.42857142857143	0	0
HG00383	7	40.0	0	0
HG00384	7	38.285714285714285	0	0
HG01334	5	35.8	0	2
HG01789	7	36.857142857142854	0	0
HG01790	7	40.57142857142857	0	0
HG01791	5	35.8	0	1
HG02215	7	36.57142857142857	0	0
NA06984	7	41.285714285714285	0	0
NA06985	7	44.42857142857143	0	0
NA06986	7	37.142857142857146	0	0
NA06989	7	38.285714285714285	0	0
NA06994	7	38.714285714285715	0	0
NA07000	6	37.5	0	1
NA07037	7	40.714285714285715	0	0
NA07048	6	39.833333333333336	0	1
NA07051	7	38.42857142857143	0	0
NA07056	7	34.0	0	0
NA07346	7	44.285714285714285	0	0
NA07347	7	35.57142857142857	0	0
NA07357	7	33.0	0	0
NA10847	7	38.714285714285715	0	0
NA10851	7	41.857142857142854	0	0
NA11829	7	41.57142857142857	0	0
NA11830	7	37.142857142857146	0	0
NA11831	7	41.42857142857143	0	0
NA11832	7	37.714285714285715	0	0
NA11840	7	39.857142857142854	0	0
NA11843	7	38.142857142857146	0	0
NA11881	7	39.285714285714285	0	0
NA11892	7	35.285714285714285	0	0
NA11893	7	41.142857142857146	0	0
NA11894	7	33.714285714285715	0	0
NA11918	7	37.285714285714285	0	0
NA11920	7	40.0	0	0
NA11930	7	36.285714285714285	0	0
NA11931	7	38.42857142857143	0	0
NA11992	7	37.0	0	0
NA11993	7	39.42857142857143	0	0
NA11994	7	40.714285714285715	0	0
NA11995	7	36.285714285714285	0	0
NA12004	7	39.142857142857146	0	0
NA12005	7	34.285714285714285	0	0
NA12006	6	39.166666666666664	0	0
NA12043	7	46.857142857142854	0	0
NA12044	7	35.57142857142857	0	0
NA12045	6	34.333333333333336	0	1
NA12058	7	38.0	0	0
NA12144	7	35.142857142857146	0	0
NA12154	7	35.42857142857143	0	0
NA12155	7	35.0	0	0
NA12156	7	43.0	0	0
NA12234	7	37.714285714285715	0	0
NA12249	7	43.857142857142854	0	0
NA12272	7	41.857142857142854	0	0
NA12273	7	39.142857142857146	0	0
NA12275	7	34.0	0	0
NA12282	7	41.42857142857143	0	0
NA12283	7	54.57142857142857	0	0
NA12286	7	41.42857142857143	0	0
NA12287	7	38.857142857142854	0	0
NA12340	7	42.57142857142857	0	0
NA12341	6	41.333333333333336	0	0
NA12342	7	48.285714285714285	0	0
NA12347	7	36.0	0	0
NA12348	7	39.857142857142854	0	0
NA12383	7	41.857142857142854	0	0
NA12399	7	45.57142857142857	0	0
NA12400	7	47.142857142857146	0	0
NA12413	7	31.714285714285715	0	0
NA12489	7	38.42857142857143	0	0
NA12546	7	38.42857142857143	0	0
NA12716	7	38.285714285714285	0	0
NA12717	7	35.857142857142854	0	0
NA12718	7	37.57142857142857	0	0
NA12749	7	40.285714285714285	0	0
NA12750	7	42.285714285714285	0	0
