str:gene	str_end	motif	gene_name	sample_n	GT_n	p_values	slope	error	shuffled_p	shuffled_slope	shuffled_error
chr11_57520862-ENSG00000254979.1	57520877	1	RP11-872D17.8	87	4	0.29140603429499534	-0.15809659951113797	0.14720988469931645	0.053578675473514706	-0.36199049916933	0.18015924655591567
chr11_57520862-ENSG00000134802.12	57520877	1	SLC43A3	87	4	0.7317789107555046	-0.05577234873123629	0.1612051486449972	0.7869278259554884	-0.05590060867640629	0.20496535173986116
chr11_57520862-ENSG00000186907.3	57520877	1	RTN4RL2	87	4	0.022901728576349863	-0.31605121057151303	0.13178843231290593	0.3787754429416186	-0.1629768724833205	0.1824314150436069
chr11_57520862-ENSG00000149150.4	57520877	1	SLC43A1	87	4	0.45629698184608947	-0.11146934667712553	0.1476948948809926	0.7618151266620065	0.05543847524523652	0.18124768008175995
chr11_57520862-ENSG00000134809.4	57520877	1	TIMM10	87	4	0.7660427521840341	0.039474150135407435	0.13146252478534415	0.2833446387242756	0.19672259800348307	0.18007992533960449
chr11_57520862-ENSG00000214872.4	57520877	1	SMTNL1	87	4	0.0917547222122641	-0.24729955669082473	0.14196330829750856	0.5383553177180126	0.12943722914889244	0.2079513336111598
chr11_57520862-ENSG00000156587.11	57520877	1	UBE2L6	87	4	0.6064132841795469	-0.0531451217655367	0.1020691241179542	0.499408521489231	0.10745996867992261	0.15717292943939604
chr11_57520862-ENSG00000149131.10	57520877	1	SERPING1	87	4	0.6562380517530606	0.06689111158291358	0.14878261695701891	0.5920242722562603	-0.10131885944686439	0.18703780278971316
chr11_57521837-ENSG00000254979.1	57521865	1	RP11-872D17.8	89	3	0.44585765124478904	-0.09984258761554614	0.12935244714856453	0.6344147489014775	0.08133775060760706	0.16941474727941883
chr11_57521837-ENSG00000134802.12	57521865	1	SLC43A3	89	3	0.07025622259241249	-0.24504344489989088	0.1308430584166583	0.8236281931688229	-0.041414095325614325	0.1842944088469036
chr11_57521837-ENSG00000186907.3	57521865	1	RTN4RL2	89	3	0.8573538350751235	0.021388219496295616	0.11803686815008885	0.6716279527797178	-0.0688604810853587	0.1609463488725417
chr11_57521837-ENSG00000149150.4	57521865	1	SLC43A1	89	3	0.018851446026744167	0.2843853072407533	0.11494828206877022	0.45365454892570256	0.10288441820337739	0.13562745780881583
chr11_57521837-ENSG00000134809.4	57521865	1	TIMM10	89	3	0.8743909582610782	-0.017793518167238523	0.11165980177902629	0.44956215196642035	0.12886992808148048	0.16833942066093718
chr11_57521837-ENSG00000214872.4	57521865	1	SMTNL1	89	3	0.10974195338571957	0.19617370790524424	0.11924849193448517	0.2465246989274894	-0.2104877297653643	0.1783125632446316
chr11_57521837-ENSG00000156587.11	57521865	1	UBE2L6	89	3	0.30028291022998105	0.08788866744448072	0.08347473671582772	0.8754664043588718	-0.022679084707890006	0.1435579983611712
chr11_57521837-ENSG00000149131.10	57521865	1	SERPING1	89	3	0.2697026013616769	0.13752815559268827	0.122441510300878	0.1581440302676965	-0.24284924456486356	0.16804677939580012
chr11_57522890-ENSG00000254979.1	57522920	4	RP11-872D17.8	89	4	0.6740912457706254	0.06257865719747993	0.14744115146426318	0.19459823975765483	0.22874816603929538	0.17265724604390364
chr11_57522890-ENSG00000134802.12	57522920	4	SLC43A3	89	4	0.4634286402929434	0.11485765239778041	0.15477009877633874	0.13317424249653773	-0.28538343826333246	0.18520634088546972
chr11_57522890-ENSG00000186907.3	57522920	4	RTN4RL2	89	4	0.33297863506985803	0.12953703177313952	0.13177639675514122	0.6310094802928743	-0.08886512126559361	0.18324287105959547
chr11_57522890-ENSG00000149150.4	57522920	4	SLC43A1	89	4	0.08926620282021223	0.23786086010657767	0.13572671531620414	0.4034014303892559	-0.15230001867421988	0.1798559651283808
chr11_57522890-ENSG00000134809.4	57522920	4	TIMM10	89	4	0.10368923730089451	-0.20318044792563017	0.1213046943119339	0.3913000057077497	-0.1889798944543252	0.21745965751880197
chr11_57522890-ENSG00000214872.4	57522920	4	SMTNL1	89	4	0.02714908259043037	0.30140691045781903	0.1301670258392073	0.9750066005239391	0.0053033394090352135	0.16795671159478964
chr11_57522890-ENSG00000156587.11	57522920	4	UBE2L6	89	4	0.16276634805420584	0.13320929377879925	0.09323508207880762	0.06742170280890335	-0.36272295150714856	0.19160511759301557
chr11_57522890-ENSG00000149131.10	57522920	4	SERPING1	89	4	0.08081867894033974	-0.24286270464353865	0.13470198252341006	0.13492399878049868	-0.2647802957363612	0.17263784045100977
chr11_57524348-ENSG00000134802.12	57524366	1	SLC43A3	81	6	0.2029105828754899	-0.18165474509733628	0.13876753208001535	0.7595935107702854	0.0607390977021592	0.19623315878593536
chr11_57524348-ENSG00000186907.3	57524366	1	RTN4RL2	81	6	0.21776950038216403	0.15766243410444003	0.12456523216261106	0.5094898448269982	0.10894444903209649	0.16269524690564088
chr11_57524348-ENSG00000149150.4	57524366	1	SLC43A1	81	6	0.6860392684664356	0.05510705195007005	0.13467815959085924	0.5794274717932975	-0.09090164824673684	0.16178964884017125
chr11_57524348-ENSG00000134809.4	57524366	1	TIMM10	81	6	0.6883262872319906	0.052714461360741975	0.12983260690403117	0.2060745189432527	-0.25594212919816234	0.19693523724783077
chr11_57524348-ENSG00000214872.4	57524366	1	SMTNL1	81	6	0.0716754903127324	0.2300714527131608	0.12209096628407569	0.08924795086949416	0.27839641045653674	0.15719008837405843
chr11_57524348-ENSG00000156587.11	57524366	1	UBE2L6	81	6	0.6253561018612138	0.040098431058289336	0.08106685781275585	0.011327121517979464	0.4453958475729035	0.162370488124318
chr11_57524348-ENSG00000149131.10	57524366	1	SERPING1	81	6	0.28424551042967694	0.14758517969239518	0.1347411806351172	0.48966524987263726	-0.14746239620089904	0.2101744912144463
chr11_57528484-ENSG00000186907.3	57528517	2	RTN4RL2	87	11	0.09927686322340082	-0.18316191074595067	0.10767530473075751	0.7817994948141418	0.04787299109161845	0.17129723931968807
chr11_57528484-ENSG00000149150.4	57528517	2	SLC43A1	87	11	0.9989956898555865	-0.0001753914506490966	0.13818536826650074	0.9142056270691632	0.017677323196068562	0.16270362483273737
chr11_57528484-ENSG00000134809.4	57528517	2	TIMM10	87	11	1.0315343422069172e-08	0.5676045731192696	0.07269170122689196	0.3538346200663115	0.181056016791554	0.19225150042597094
chr11_57528484-ENSG00000214872.4	57528517	2	SMTNL1	87	11	0.15864598663463014	-0.19126663689488266	0.13230628985940637	0.751733527369994	0.05784973371048624	0.1811931137046372
chr11_57528484-ENSG00000156587.11	57528517	2	UBE2L6	87	11	0.3362012713338438	-0.0848509161832258	0.08681539663998848	0.8125202057693449	0.03990517967671396	0.16677598361762155
chr11_57528484-ENSG00000149131.10	57528517	2	SERPING1	87	11	0.5943826444554638	0.07521301019791843	0.13973879642383674	0.926799928624624	0.01813524727574407	0.19574560493423024

