str-gene	str_end	motif	gene_name	sample_n	GT_n	p_values	slope	error	shuffled_p	shuffled_slope	shuffled_error
chr11_57520862-ENSG00000254979.1	57520877	1	RP11-872D17.8	355	3	0.58775705166685	-0.029373546895034665	0.05412701337264744	0.8431739199899341	0.01161567831052295	0.05866271397632959
chr11_57520862-ENSG00000134802.12	57520877	1	SLC43A3	355	3	0.6944062308552187	0.015625304858485747	0.03973242755335208	0.25453181541355324	-0.06346633472107403	0.05559360911496059
chr11_57520862-ENSG00000186907.3	57520877	1	RTN4RL2	355	3	0.7416936392748061	-0.01293079301075014	0.039193947891338225	0.039813371401030716	0.12198818976555328	0.05908188204170286
chr11_57520862-ENSG00000149150.4	57520877	1	SLC43A1	355	3	0.2833055895931104	-0.046037102231163744	0.04283067089769694	0.01587290238567617	0.14270554488481565	0.05883083064637702
chr11_57520862-ENSG00000134809.4	57520877	1	TIMM10	355	3	8.851427193345449e-15	-0.3111017181158413	0.0380767900768819	0.5902719610660354	0.031345794410356696	0.05815274958699391
chr11_57520862-ENSG00000214872.4	57520877	1	SMTNL1	355	3	7.113919155421293e-06	-0.19524224010969138	0.04271112986234234	0.38243055126773184	-0.050528555053143284	0.05776538707679927
chr11_57520862-ENSG00000156587.11	57520877	1	UBE2L6	355	3	0.10409154952410685	0.045062996289133454	0.027640680921848834	0.10101902377110838	0.0960515582756333	0.05838911782140257
chr11_57520862-ENSG00000149131.10	57520877	1	SERPING1	355	3	0.15328403320754175	0.06806982456499262	0.047545494078915375	0.646454929494118	0.026910676930965	0.05860865845659316
chr11_57522890-ENSG00000254979.1	57522920	4	RP11-872D17.8	358	7	0.8723607850759864	-0.008681857629004556	0.053992502376173715	0.36540358538657314	0.0534844411202081	0.05900192891709983
chr11_57522890-ENSG00000134802.12	57522920	4	SLC43A3	358	7	0.1736132819377885	0.0539251457372833	0.03953702051262361	0.0069705595684714265	-0.16235287205059978	0.059756119054555114
chr11_57522890-ENSG00000186907.3	57522920	4	RTN4RL2	358	7	0.9590658298887054	-0.0020031887478148425	0.038996320934140405	0.19825144967385033	0.07565378598102125	0.058673959666074305
